Driver,LapNumber,Compound,Stint,TyreLife,Position,LapTime (s),Race,Year,LapTime_Delta
ALB,1,MEDIUM,1,2.0,17,100.625,Abu Dhabi Grand Prix,2023,0.0
ALB,2,MEDIUM,1,3.0,18,93.56,Abu Dhabi Grand Prix,2023,-7.064999999999998
ALB,3,MEDIUM,1,4.0,18,91.768,Abu Dhabi Grand Prix,2023,-1.7920000000000016
ALB,4,MEDIUM,1,5.0,18,91.591,Abu Dhabi Grand Prix,2023,-0.1770000000000067
ALB,5,MEDIUM,1,6.0,18,91.422,Abu Dhabi Grand Prix,2023,-0.1689999999999969
ALB,6,MEDIUM,1,7.0,18,91.491,Abu Dhabi Grand Prix,2023,0.0690000000000026
ALB,7,MEDIUM,1,8.0,18,91.438,Abu Dhabi Grand Prix,2023,-0.0529999999999972
ALB,8,MEDIUM,1,9.0,17,91.58,Abu Dhabi Grand Prix,2023,0.1419999999999959
ALB,9,MEDIUM,1,10.0,17,91.644,Abu Dhabi Grand Prix,2023,0.0640000000000071
ALB,10,MEDIUM,1,11.0,17,91.978,Abu Dhabi Grand Prix,2023,0.333999999999989
ALB,11,MEDIUM,1,12.0,17,91.962,Abu Dhabi Grand Prix,2023,-0.0159999999999911
ALB,12,MEDIUM,1,13.0,17,91.958,Abu Dhabi Grand Prix,2023,-0.0040000000000048
ALB,13,MEDIUM,1,14.0,15,91.7,Abu Dhabi Grand Prix,2023,-0.2579999999999955
ALB,14,MEDIUM,1,15.0,13,91.655,Abu Dhabi Grand Prix,2023,-0.0450000000000017
ALB,15,MEDIUM,1,16.0,11,91.729,Abu Dhabi Grand Prix,2023,0.073999999999998
ALB,16,MEDIUM,1,17.0,12,94.282,Abu Dhabi Grand Prix,2023,2.5529999999999973
ALB,17,HARD,2,1.0,19,111.901,Abu Dhabi Grand Prix,2023,0.0
ALB,18,HARD,2,2.0,19,90.463,Abu Dhabi Grand Prix,2023,-21.438
ALB,19,HARD,2,3.0,19,90.573,Abu Dhabi Grand Prix,2023,0.1099999999999994
ALB,20,HARD,2,4.0,19,90.392,Abu Dhabi Grand Prix,2023,-0.1809999999999973
ALB,21,HARD,2,5.0,19,90.54,Abu Dhabi Grand Prix,2023,0.1480000000000103
